tau1,tau2,train_auc,test_auc
35,34,0.7644444444444445,0.6750993897928993
34,35,0.7777777777777779,0.6665183524408285
33,35,0.8044444444444445,0.6642358542899409
35,33,0.7644444444444445,0.6609536797337279
36,34,0.7511111111111111,0.6584053716715976
34,36,0.7911111111111111,0.6562962278106509
36,33,0.7511111111111111,0.6401685003698225
34,33,0.7644444444444445,0.6386834319526626
36,32,0.7466666666666667,0.6281608265532544
36,35,0.7288888888888889,0.6281145987426036
17,18,0.8888888888888888,0.6279816937869822
35,36,0.7244444444444444,0.6248150887573964
18,17,0.8711111111111111,0.6212613258136095
35,32,0.76,0.6211919840976331
34,32,0.76,0.620579465606509
17,19,0.8666666666666667,0.6193833210059171
37,34,0.7155555555555556,0.6181351701183432
37,33,0.7022222222222222,0.617828910872781
36,31,0.7155555555555556,0.6177711261094674
16,18,0.8488888888888888,0.6175919933431953
19,17,0.8711111111111111,0.6166212093195265
33,36,0.8222222222222223,0.6163207285502958
35,31,0.7466666666666666,0.6151765902366865
37,32,0.6844444444444444,0.6144716161242603
36,30,0.6888888888888889,0.6100279678254438
38,33,0.6799999999999999,0.6099644045857988
37,31,0.6755555555555556,0.6077339127218935
19,18,0.8666666666666667,0.6075605584319527
35,30,0.7066666666666667,0.6068440273668639
38,34,0.6888888888888889,0.6053705159023669
18,16,0.8444444444444444,0.604266826923077
33,34,0.7822222222222223,0.6034289478550297
18,19,0.8711111111111111,0.6019207655325444
34,37,0.76,0.6017127403846153
38,32,0.6666666666666667,0.6016433986686391
16,17,0.8133333333333334,0.6013775887573964
37,30,0.6755555555555557,0.6007361778846153
39,33,0.6577777777777778,0.6001987795857989

DDALAB
narrow time window 50-250ms
1. across channels, concatenate all trials
2. across patients(motor)
3. motor/nonmotor
4. different model